Marmara Üniversitesi, Devlet, İSTANBUL, Aktüerya Bilimleri (KKTC), 4, Türkçe, 0, 0, 2, SAY,  #
İstanbul Üniversitesi, Devlet, İSTANBUL, Alman Dili ve Edebiyatı, 4, Almanca, 388.4331, 15711, 60, DİL,  #
Hacettepe Üniversitesi, Devlet, ANKARA, Alman Dili ve Edebiyatı, 4, Almanca, 378.877, 18452, 80, DİL,  #
Ege Üniversitesi, Devlet, İZMİR, Alman Dili ve Edebiyatı, 4, Almanca, 368.4677, 21576, 60, DİL,  #
Ankara Üniversitesi, Devlet, ANKARA, Alman Dili ve Edebiyatı, 4, Almanca, 354.1711, 26107, 50, DİL,  #
Akdeniz Üniversitesi, Devlet, ANTALYA, Alman Dili ve Edebiyatı, 4, Almanca, 342.9079, 29702, 60, DİL,  #
Aydın Adnan Menderes Üniversitesi, Devlet, AYDIN, Alman Dili ve Edebiyatı, 4, Almanca, 311.1914, 39878, 50, DİL,  #
Sakarya Üniversitesi, Devlet, SAKARYA, Alman Dili ve Edebiyatı, 4, Türkçe, 285.1635, 48266, 80, DİL,  #
Tekirdağ Namık Kemal Üniversitesi, Devlet, TEKİRDAĞ, Alman Dili ve Edebiyatı, 4, Türkçe, 279.3067, 50224, 80, DİL,  #
Selçuk Üniversitesi, Devlet, KONYA, Alman Dili ve Edebiyatı, 4, Almanca, 268.5752, 53989, 60, DİL,  #
Selçuk Üniversitesi, Devlet, KONYA, Alman Dili ve Edebiyatı (İ.Ö), 4, Almanca, 238.8013, 64967, 60, DİL,  #
Atatürk Üniversitesi, Devlet, ERZURUM, Alman Dili ve Edebiyatı, 4, Türkçe, 234.9866, 66369, 60, DİL,  #
Sivas Cumhuriyet Üniversitesi, Devlet, SİVAS, Alman Dili ve Edebiyatı, 4, Türkçe, 224.8125, 69466, 90, DİL,  #
Fırat Üniversitesi, Devlet, ELAZIĞ, Alman Dili ve Edebiyatı, 4, Türkçe, 220.5672, 70105, 50, DİL,  #
Marmara Üniversitesi, Devlet, İSTANBUL, Alman Dili ve Edebiyatı, 4, Almanca, 0, 0, 50, DİL,  #
Hacettepe Üniversitesi, Devlet, ANKARA, Alman Dili ve Edebiyatı (KKTC), 4, Almanca, 351.9892, 26779, 1, DİL,  #
Hacettepe Üniversitesi, Devlet, ANKARA, Almanca Mütercim ve Tercümanlık, 4, Almanca, 405.2173, 11300, 60, DİL,  #
Marmara Üniversitesi, Devlet, İSTANBUL, Almanca Mütercim ve Tercümanlık, 4, Almanca, 401.5876, 12185, 50, DİL,  #
Ege Üniversitesi, Devlet, İZMİR, Almanca Mütercim ve Tercümanlık, 4, Almanca, 386.8446, 16154, 60, DİL,  #
Sakarya Üniversitesi, Devlet, SAKARYA, Almanca Mütercim ve Tercümanlık, 4, Türkçe, 319.4765, 37233, 60, DİL,  #
Trakya Üniversitesi, Devlet, EDİRNE, Almanca Mütercim ve Tercümanlık, 4, Türkçe, 300.1726, 43376, 60, DİL,  #
Mersin Üniversitesi, Devlet, MERSİN, Almanca Mütercim ve Tercümanlık, 4, Türkçe, 296.0594, 44740, 50, DİL,  #
Sakarya Üniversitesi, Devlet, SAKARYA, Almanca Mütercim ve Tercümanlık (İ.Ö), 4, Türkçe, 282.1465, 49244, 60, DİL,  #
Karamanoğlu Mehmetbey Üniversitesi, Devlet, KARAMAN, Almanca Mütercim ve Tercümanlık, 4, Almanca, 229.1943, 68275, 60, DİL,  #
İstanbul Üniversitesi, Devlet, İSTANBUL, Almanca Mütercim ve Tercümanlık, 4, Türkçe, 215.9174, 70299, 60, DİL,  #
Anadolu Üniversitesi, Devlet, ESKİŞEHİR, Almanca Öğretmenliği, 4, Türkçe, 360.0316, 24213, 50, DİL,  #
Gazi Üniversitesi, Devlet, ANKARA, Almanca Öğretmenliği, 4, Türkçe, 351.2851, 27006, 50, DİL,  #
Bursa Uludağ Üniversitesi, Devlet, BURSA, Almanca Öğretmenliği, 4, Türkçe, 349.1989, 27678, 50, DİL,  #
Muğla Sıtkı Koçman Üniversitesi, Devlet, MUĞLA, Almanca Öğretmenliği, 4, Türkçe, 329.6618, 33944, 50, DİL,  #
Ondokuz Mayıs Üniversitesi, Devlet, SAMSUN, Almanca Öğretmenliği, 4, Türkçe, 317.5924, 37820, 50, DİL,  #
Çukurova Üniversitesi, Devlet, ADANA, Almanca Öğretmenliği, 4, Türkçe, 309.3333, 40474, 50, DİL,  #
Trakya Üniversitesi, Devlet, EDİRNE, Almanca Öğretmenliği, 4, Almanca, 304.0396, 42152, 50, DİL,  #
Nevşehir Hacı Bektaş Veli Üniversitesi, Devlet, NEVŞEHİR, Almanca Öğretmenliği, 4, Türkçe, 297.8431, 44137, 30, DİL,  #
Necmettin Erbakan Üniversitesi, Devlet, KONYA, Almanca Öğretmenliği, 4, Türkçe, 297.8051, 44147, 50, DİL,  #
Atatürk Üniversitesi, Devlet, ERZURUM, Almanca Öğretmenliği, 4, Türkçe, 278.2199, 50609, 50, DİL,  #
Dicle Üniversitesi, Devlet, DİYARBAKIR, Almanca Öğretmenliği, 4, Türkçe, 268.4418, 54039, 50, DİL,  #
Hakkari Üniversitesi, Devlet, HAKKARİ, Almanca Öğretmenliği, 4, Türkçe, 244.4933, 62831, 30, DİL,  #
Hacettepe Üniversitesi, Devlet, ANKARA, Almanca Öğretmenliği, 4, Almanca, 223.2505, 69765, 50, DİL,  #
Marmara Üniversitesi, Devlet, İSTANBUL, Almanca Öğretmenliği, 4, Almanca, 0, 0, 50, DİL,  #
Dokuz Eylül Üniversitesi, Devlet, İZMİR, Almanca Öğretmenliği, 4, Almanca, 0, 0, 50, DİL,  #
İstanbul Üniversitesi, Devlet, -Cerrahpaşa, Almanca Öğretmenliği, 4, Almanca, 0, 0, 50, DİL,  #
İhsan Doğramacı Bilkent Üniversitesi, Vakıf, ANKARA, Amerikan Kültürü ve Edebiyatı, 4, İngilizce, 453.4009, 3643, 6, DİL, %100 Burslu #
Hacettepe Üniversitesi, Devlet, ANKARA, Amerikan Kültürü ve Edebiyatı, 4, İngilizce, 410.0172, 10244, 80, DİL,  #
İstanbul Üniversitesi, Devlet, İSTANBUL, Amerikan Kültürü ve Edebiyatı, 4, İngilizce, 402.5485, 11947, 80, DİL,  #
Ege Üniversitesi, Devlet, İZMİR, Amerikan Kültürü ve Edebiyatı, 4, İngilizce, 397.0699, 13306, 60, DİL,  #
Başkent Üniversitesi, Vakıf, ANKARA, Amerikan Kültürü ve Edebiyatı, 4, Türkçe, 396.5948, 13435, 6, DİL, %100 Burslu #
